Id,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status,Mes,Customer_Id,Customer_Name,City,State,Region,Delivery_Id,Services,P_Sevice,D_Forecast,D_Date,Status
88,2025-03-03 20:00:09,0.0048,519.44,539.85,Boleto,Confirmado,Março,C00088,Lucas da Costa,Juazeiro,BA,Nordeste,D00088,Standard,22.9,2025-05-14 03:19:23,2025-05-14 03:19:23,Trânsito
90,2025-03-16 03:00:14,0.1082,7196.04,6450.42,Debito,Confirmado,Março,C00090,Vitória Monteiro,Porto Velho,RO,Norte,D00090,Scheduled,32.99,2025-04-29 03:18:47,2025-04-29 03:18:47,Entregue
92,2025-03-27 05:13:40,0.0978,249.82,248.29,Debito,Confirmado,Março,C00092,Dra. Pietra Gonçalves,Juazeiro,BA,Nordeste,D00092,Standard,22.9,2025-04-24 13:29:15,2025-04-29 13:29:15,Entregue
95,2025-04-03 23:16:41,0.1253,524.7,501.86,Boleto,Confirmado,Abril,C00095,Pedro Henrique das Neves,Juiz de Fora,MG,Sudeste,D00095,Same-Day,42.9,2025-05-11 05:29:28,2025-05-16 05:29:28,Entregue
99,2025-03-16 00:49:12,0.058,519.44,512.21,PIX,Confirmado,Março,C00099,Pedro Lucas Melo,Brasiléia,AC,Norte,D00099,Standard,22.9,2025-04-13 18:28:42,2025-04-17 18:28:42,Atrasado
104,2025-04-06 15:44:57,0.1205,3049.99,2725.37,PIX,Confirmado,Abril,C00104,Isadora Oliveira,Cantá,RR,Norte,D00104,Same-Day,42.9,2025-05-06 09:02:34,2025-05-07 09:02:34,A Caminho
107,2025-03-28 12:33:18,0.0917,4288.0,3937.69,PIX,Confirmado,Março,C00107,Eduarda Ramos,Jaboatão dos Guararapes,PE,Nordeste,D00107,Same-Day,42.9,2025-05-05 06:43:25,2025-05-08 06:43:25,Trânsito
114,2025-03-19 05:32:24,0.0699,3796.0,3573.56,PIX,Confirmado,Março,C00114,Maitê Rodrigues,Florianópolis,SC,Sul,D00114,Same-Day,42.9,2025-04-27 07:47:10,2025-05-02 07:47:10,Atrasado
115,2025-05-16 06:48:30,0.0971,5937.3,5393.78,PIX,Confirmado,Maio,C00115,Luiz Miguel Caldeira,Cruzeiro do Sul,AC,Norte,D00115,Scheduled,32.99,2025-04-28 17:58:37,2025-05-02 17:58:37,Entregue
116,2025-03-13 07:35:30,0.0699,2144.0,2017.03,PIX,Confirmado,Março,C00116,João Miguel da Costa,Gurupi,TO,Norte,D00116,Standard,22.9,2025-05-17 03:27:35,2025-05-17 03:27:35,Atrasado
118,2025-03-29 16:07:45,0.0461,49.9,80.59,PIX,Confirmado,Março,C00118,Murilo Ferreira,Itacoatiara,AM,Norte,D00118,Scheduled,32.99,2025-05-01 05:57:52,2025-05-01 05:57:52,A Caminho
121,2025-03-21 17:47:53,0.0495,4316.0,4145.26,Boleto,Confirmado,Março,C00121,Vitor Souza,Joinville,SC,Sul,D00121,Same-Day,42.9,2025-04-27 20:48:45,2025-05-01 20:48:45,A Caminho
126,2025-03-30 06:33:37,0.1049,3049.99,2752.95,PIX,Confirmado,Março,C00126,Dr. Leonardo Barros,Ponta Grossa,PR,Sul,D00126,Standard,22.9,2025-04-27 16:08:40,2025-04-28 16:08:40,Trânsito
128,2025-04-29 14:12:50,0.1211,259.72,271.17,Credito,Confirmado,Abril,C00128,Henrique da Mata,Niterói,RJ,Sudeste,D00128,Same-Day,42.9,2025-04-28 06:24:11,2025-04-29 06:24:11,Trânsito
130,2025-02-19 00:02:05,0.0212,6099.98,6013.56,PIX,Confirmado,Fevereiro,C00130,Isabelly Farias,Pelotas,RS,Sul,D00130,Same-Day,42.9,2025-05-01 23:48:49,2025-05-05 23:48:49,A Caminho
131,2025-02-28 18:34:43,0.0141,3079.6,3059.08,Debito,Confirmado,Fevereiro,C00131,Isabella Mendes,Gurupi,TO,Norte,D00131,Standard,22.9,2025-05-11 18:11:06,2025-05-12 18:11:06,Entregue
133,2025-03-06 17:04:14,0.1282,3237.0,2855.01,PIX,Confirmado,Março,C00133,Lívia Gomes,Vitória,ES,Sudeste,D00133,Scheduled,32.99,2025-04-27 12:48:46,2025-04-27 12:48:46,A Caminho
134,2025-03-12 17:03:17,0.1443,699.6,631.64,Debito,Confirmado,Março,C00134,Pedro Lucas da Cruz,Juiz de Fora,MG,Sudeste,D00134,Scheduled,32.99,2025-04-24 03:43:25,2025-04-25 03:43:25,Trânsito
142,2025-02-18 10:27:01,0.1346,663.96,597.49,Debito,Confirmado,Fevereiro,C00142,Joaquim Teixeira,Caracaraí,RR,Norte,D00142,Standard,22.9,2025-05-10 05:55:46,2025-05-10 05:55:46,Trânsito
144,2025-05-01 08:58:30,0.0115,49.9,82.32,Credito,Confirmado,Maio,C00144,Dr. Nathan Cunha,São Bernardo do Campo,SP,Sudeste,D00144,Scheduled,32.99,2025-04-18 04:09:48,2025-04-23 04:09:48,Entregue
145,2025-04-25 17:41:17,0.024,389.58,423.13,Debito,Confirmado,Abril,C00145,Sr. Augusto da Luz,Blumenau,SC,Sul,D00145,Same-Day,42.9,2025-05-01 12:29:29,2025-05-02 12:29:29,A Caminho
151,2025-02-27 19:01:53,0.121,51.8,78.52,Boleto,Confirmado,Fevereiro,C00151,Nina Costela,Santo André,SP,Sudeste,D00151,Scheduled,32.99,2025-04-23 00:57:35,2025-04-26 00:57:35,Trânsito
153,2025-03-14 03:03:33,0.1203,7916.4,6986.96,PIX,Confirmado,Março,C00153,Cecília da Conceição,Joinville,SC,Sul,D00153,Standard,22.9,2025-04-19 12:39:39,2025-04-23 12:39:39,Trânsito
156,2025-04-09 16:04:35,0.1054,6099.98,5490.03,Credito,Confirmado,Abril,C00156,Ana Júlia Lima,Contagem,MG,Sudeste,D00156,Scheduled,32.99,2025-04-27 13:32:19,2025-04-27 13:32:19,A Caminho
160,2025-04-22 21:31:53,0.065,428.99,444.01,Credito,Confirmado,Abril,C00160,Cauê da Cruz,Caicó,RN,Nordeste,D00160,Same-Day,42.9,2025-04-15 20:22:20,2025-04-17 20:22:20,Atrasado
164,2025-05-16 20:39:21,0.1255,5397.03,4762.6,PIX,Confirmado,Maio,C00164,Ana Sophia Costa,Cascavel,PR,Sul,D00164,Same-Day,42.9,2025-04-25 04:19:04,2025-04-26 04:19:04,A Caminho
165,2025-05-06 15:21:43,0.1125,1079.0,980.51,Debito,Confirmado,Maio,C00165,Bernardo da Rocha,Sobral,CE,Nordeste,D00165,Standard,22.9,2025-05-01 12:43:20,2025-05-04 12:43:20,Trânsito
166,2025-02-20 23:27:11,0.0574,1286.97,1236.0,Boleto,Confirmado,Fevereiro,C00166,Emanuel Costa,Estância,SE,Nordeste,D00166,Standard,22.9,2025-04-17 09:41:30,2025-04-18 09:41:30,Entregue
167,2025-03-15 17:00:51,0.1243,6099.98,5384.65,Boleto,Confirmado,Março,C00167,Davi Lucas Gomes,Ribeirão Preto,SP,Sudeste,D00167,Same-Day,42.9,2025-05-05 14:49:41,2025-05-09 14:49:41,Atrasado
172,2025-04-10 21:34:58,0.0559,3079.6,2940.44,Credito,Confirmado,Abril,C00172,Dr. Pedro Henrique da Cruz,São Paulo,SP,Sudeste,D00172,Scheduled,32.99,2025-05-05 21:39:40,2025-05-06 21:39:40,Trânsito
180,2025-02-17 08:34:34,0.0825,4288.0,3957.14,Debito,Confirmado,Fevereiro,C00180,Rodrigo Duarte,Caicó,RN,Nordeste,D00180,Standard,22.9,2025-04-23 23:51:44,2025-04-28 23:51:44,Trânsito
181,2025-02-28 01:26:37,0.0915,5484.26,5015.44,Credito,Confirmado,Fevereiro,C00181,Rafaela Jesus,Tocantinópolis,TO,Norte,D00181,Scheduled,32.99,2025-04-27 08:43:24,2025-04-28 08:43:24,Trânsito
182,2025-04-21 14:53:30,0.1043,1286.97,1185.73,Credito,Confirmado,Abril,C00182,Ana Vitória Fernandes,Porto Alegre,RS,Sul,D00182,Scheduled,32.99,2025-04-22 03:22:49,2025-04-25 03:22:49,Entregue
183,2025-05-10 01:08:01,0.1377,2158.0,1883.74,Credito,Confirmado,Maio,C00183,Nicole Araújo,Duque de Caxias,RJ,Sudeste,D00183,Standard,22.9,2025-04-16 07:39:44,2025-04-18 07:39:44,A Caminho
187,2025-04-30 06:56:52,0.0183,51.8,73.75,Boleto,Confirmado,Abril,C00187,Pedro Lucas da Rocha,Santarém,PA,Norte,D00187,Standard,22.9,2025-04-26 16:17:07,2025-04-29 16:17:07,Entregue
188,2025-03-23 07:14:22,0.0933,7916.4,7200.7,PIX,Confirmado,Março,C00188,João Lucas da Costa,Joinville,SC,Sul,D00188,Standard,22.9,2025-05-06 10:33:21,2025-05-10 10:33:21,Entregue
189,2025-04-22 19:07:50,0.1324,18416.0,16010.71,PIX,Confirmado,Abril,C00189,Manuela Gomes,Cascavel,PR,Sul,D00189,Scheduled,32.99,2025-05-13 18:10:43,2025-05-15 18:10:43,Trânsito
194,2025-05-06 02:37:05,0.0463,519.44,518.29,Credito,Confirmado,Maio,C00194,Raul Ferreira,Betim,MG,Sudeste,D00194,Standard,22.9,2025-05-14 11:06:58,2025-05-14 11:06:58,Entregue
195,2025-04-30 08:29:03,0.0608,5397.03,5111.79,Debito,Confirmado,Abril,C00195,Stella Peixoto,Duque de Caxias,RJ,Sudeste,D00195,Same-Day,42.9,2025-04-22 23:57:28,2025-04-26 23:57:28,Trânsito
212,2025-04-22 23:02:49,0.0965,1286.97,1195.77,Debito,Confirmado,Abril,C00212,Lívia da Cunha,Tefé,AM,Norte,D00212,Scheduled,32.99,2025-04-28 11:17:58,2025-05-01 11:17:58,Atrasado
214,2025-05-08 23:04:54,0.0231,3237.0,3205.13,PIX,Confirmado,Maio,C00214,Eloah Fernandes,Vilhena,RO,Norte,D00214,Same-Day,42.9,2025-05-06 02:00:07,2025-05-06 02:00:07,Atrasado
220,2025-02-23 17:42:01,0.0319,499.64,526.6,PIX,Confirmado,Fevereiro,C00220,Sophia da Conceição,Chapecó,SC,Sul,D00220,Same-Day,42.9,2025-04-21 04:19:03,2025-04-26 04:19:03,A Caminho
223,2025-03-31 22:41:40,0.0811,3796.0,3531.04,Credito,Confirmado,Março,C00223,Sr. Pedro Miguel Duarte,Estância,SE,Nordeste,D00223,Same-Day,42.9,2025-05-09 00:31:43,2025-05-13 00:31:43,A Caminho
227,2025-03-09 19:39:07,0.1446,1626.57,1424.36,Boleto,Confirmado,Março,C00227,Rafael da Luz,São Gonçalo,RJ,Sudeste,D00227,Scheduled,32.99,2025-05-06 21:48:51,2025-05-08 21:48:51,Entregue
232,2025-03-10 02:25:37,0.0084,259.72,280.44,Debito,Confirmado,Março,C00232,Heloísa Azevedo,Curitiba,PR,Sul,D00232,Standard,22.9,2025-04-27 10:57:21,2025-04-30 10:57:21,Trânsito
233,2025-04-26 12:49:17,0.0308,3079.6,3007.65,PIX,Confirmado,Abril,C00233,Srta. Julia Mendes,Betim,MG,Sudeste,D00233,Standard,22.9,2025-05-05 13:52:10,2025-05-08 13:52:10,A Caminho
235,2025-04-02 17:14:18,0.0268,4879.71,4771.83,PIX,Confirmado,Abril,C00235,Bryan da Mota,Ribeirão Preto,SP,Sudeste,D00235,Standard,22.9,2025-05-04 07:21:21,2025-05-06 07:21:21,Trânsito
238,2025-03-01 09:58:05,0.1134,2144.0,1933.86,Credito,Confirmado,Março,C00238,Srta. Evelyn Rezende,São Gonçalo,RJ,Sudeste,D00238,Scheduled,32.99,2025-05-11 09:55:00,2025-05-14 09:55:00,A Caminho
240,2025-03-22 13:15:56,0.033,199.6,226.0,Credito,Confirmado,Março,C00240,Isaac Pereira,Linhares,ES,Sudeste,D00240,Scheduled,32.99,2025-04-17 03:27:15,2025-04-22 03:27:15,Trânsito
249,2025-04-13 06:20:03,0.0185,3253.14,3225.95,Boleto,Confirmado,Abril,C00249,Luiz Fernando Moura,Vilhena,RO,Norte,D00249,Scheduled,32.99,2025-04-19 03:50:00,2025-04-19 03:50:00,A Caminho
252,2025-05-15 23:08:43,0.121,4604.0,4089.82,Boleto,Confirmado,Maio,C00252,Miguel Fernandes,São Paulo,SP,Sudeste,D00252,Same-Day,42.9,2025-04-29 19:42:06,2025-05-03 19:42:06,Atrasado
258,2025-03-19 11:03:34,0.1135,99.8,131.37,Debito,Confirmado,Março,C00258,Esther Lima,Caicó,RN,Nordeste,D00258,Same-Day,42.9,2025-04-25 19:33:44,2025-04-27 19:33:44,Atrasado
266,2025-04-16 22:42:17,0.1242,1072.0,971.85,Credito,Confirmado,Abril,C00266,Clarice da Luz,Porto Alegre,RS,Sul,D00266,Scheduled,32.99,2025-05-05 05:16:23,2025-05-07 05:16:23,A Caminho
269,2025-02-19 14:50:32,0.0552,8226.39,7815.19,Boleto,Confirmado,Fevereiro,C00269,Dr. Thales Moraes,Betim,MG,Sudeste,D00269,Same-Day,42.9,2025-04-20 17:15:25,2025-04-23 17:15:25,Trânsito
277,2025-04-30 23:55:39,0.0244,155.4,174.51,Credito,Confirmado,Abril,C00277,Isis Pinto,Santarém,PA,Norte,D00277,Standard,22.9,2025-04-24 04:08:49,2025-04-28 04:08:49,Entregue
286,2025-04-08 04:08:21,0.0741,129.86,163.14,Boleto,Confirmado,Abril,C00286,Lucca Sales,Santo André,SP,Sudeste,D00286,Same-Day,42.9,2025-05-12 09:35:34,2025-05-12 09:35:34,A Caminho
289,2025-03-28 16:06:11,0.1194,1798.0,1626.22,Boleto,Confirmado,Março,C00289,Rodrigo Souza,São Gonçalo,RJ,Sudeste,D00289,Same-Day,42.9,2025-05-01 07:30:32,2025-05-04 07:30:32,Entregue
290,2025-05-05 04:36:11,0.0325,5484.26,5328.92,PIX,Confirmado,Maio,C00290,Nicolas Barbosa,Porto Nacional,TO,Norte,D00290,Standard,22.9,2025-04-29 15:36:12,2025-05-03 15:36:12,Trânsito
294,2025-03-23 21:53:48,0.0271,1799.01,1773.16,PIX,Confirmado,Março,C00294,Bianca Rodrigues,Itajaí,SC,Sul,D00294,Standard,22.9,2025-04-17 14:23:36,2025-04-17 14:23:36,Entregue
297,2025-02-22 17:06:56,0.0835,7916.4,7298.28,Debito,Confirmado,Fevereiro,C00297,Enzo Monteiro,Curitiba,PR,Sul,D00297,Same-Day,42.9,2025-04-22 01:03:30,2025-04-26 01:03:30,A Caminho
303,2025-02-23 05:57:30,0.0385,519.44,522.34,Credito,Confirmado,Fevereiro,C00303,Cauê Barbosa,Santo André,SP,Sudeste,D00303,Standard,22.9,2025-05-08 03:46:58,2025-05-10 03:46:58,Atrasado
304,2025-04-24 10:29:22,0.1257,35.8,74.2,PIX,Confirmado,Abril,C00304,Ana Beatriz Freitas,Ponta Grossa,PR,Sul,D00304,Same-Day,42.9,2025-04-12 11:33:52,2025-04-17 11:33:52,Entregue
311,2025-02-22 21:14:53,0.0929,1072.0,1005.4,Debito,Confirmado,Fevereiro,C00311,Joana Teixeira,Nova Iguaçu,RJ,Sudeste,D00311,Scheduled,32.99,2025-05-11 12:17:14,2025-05-16 12:17:14,Entregue
313,2025-03-06 21:02:53,0.0561,1979.1,1910.97,Credito,Confirmado,Março,C00313,Enrico Novaes,Bayeux,PB,Nordeste,D00313,Same-Day,42.9,2025-04-14 08:47:15,2025-04-19 08:47:15,Trânsito
317,2025-03-26 11:48:29,0.0891,12199.96,11135.84,Debito,Confirmado,Março,C00317,Srta. Alana Cavalcanti,Londrina,PR,Sul,D00317,Standard,22.9,2025-04-23 19:33:33,2025-04-23 19:33:33,Atrasado
323,2025-02-18 13:06:03,0.0968,2144.0,1979.36,Credito,Confirmado,Fevereiro,C00323,Sr. Arthur Vieira,São Paulo,SP,Sudeste,D00323,Same-Day,42.9,2025-04-19 07:07:52,2025-04-21 07:07:52,Atrasado
326,2025-03-24 05:36:34,0.1468,3253.14,2798.48,PIX,Confirmado,Março,C00326,Marcelo Farias,Laranjal do Jari,AP,Norte,D00326,Standard,22.9,2025-05-08 14:33:35,2025-05-12 14:33:35,Atrasado
334,2025-02-21 17:39:49,0.0593,519.44,511.54,Credito,Confirmado,Fevereiro,C00334,João Souza,Imperatriz,MA,Nordeste,D00334,Standard,22.9,2025-05-02 04:22:13,2025-05-03 04:22:13,Trânsito
336,2025-02-22 03:20:32,0.1338,428.99,414.49,PIX,Confirmado,Fevereiro,C00336,Calebe Fernandes,Estância,SE,Nordeste,D00336,Same-Day,42.9,2025-05-05 14:04:57,2025-05-07 14:04:57,A Caminho
340,2025-02-25 02:11:55,0.0215,449.0,462.25,Boleto,Confirmado,Fevereiro,C00340,Isaac Lopes,Uberlândia,MG,Sudeste,D00340,Standard,22.9,2025-04-29 11:56:34,2025-04-30 11:56:34,A Caminho
352,2025-05-04 10:19:28,0.0866,3958.2,3658.32,PIX,Confirmado,Maio,C00352,Rodrigo da Paz,Uberlândia,MG,Sudeste,D00352,Same-Day,42.9,2025-05-07 09:15:22,2025-05-09 09:15:22,Trânsito
360,2025-05-03 15:56:27,0.0553,3216.0,3081.06,Boleto,Confirmado,Maio,C00360,Anthony Aragão,Cachoeiro de Itapemirim,ES,Sudeste,D00360,Same-Day,42.9,2025-05-01 11:45:20,2025-05-01 11:45:20,A Caminho
361,2025-03-15 16:06:01,0.0249,331.98,366.61,Boleto,Confirmado,Março,C00361,Letícia Porto,Santana,AP,Norte,D00361,Same-Day,42.9,2025-04-18 17:42:18,2025-04-23 17:42:18,Entregue
363,2025-02-20 23:41:54,0.0978,9208.0,8340.45,PIX,Confirmado,Fevereiro,C00363,Maria Sophia Caldeira,Porto Nacional,TO,Norte,D00363,Scheduled,32.99,2025-04-19 04:30:21,2025-04-24 04:30:21,Trânsito
380,2025-03-16 10:21:59,0.0503,1799.01,1741.51,PIX,Confirmado,Março,C00380,Juliana Silveira,Propriá,SE,Nordeste,D00380,Scheduled,32.99,2025-05-11 23:35:39,2025-05-15 23:35:39,Trânsito
382,2025-03-04 21:49:50,0.0597,1286.97,1243.13,Debito,Confirmado,Março,C00382,Eloah Mendes,Rio de Janeiro,RJ,Sudeste,D00382,Scheduled,32.99,2025-05-08 11:02:24,2025-05-13 11:02:24,Trânsito
383,2025-05-04 23:20:55,0.0437,5484.26,5287.5,Debito,Confirmado,Maio,C00383,Sabrina Viana,Caxias do Sul,RS,Sul,D00383,Same-Day,42.9,2025-04-22 02:08:05,2025-04-23 02:08:05,Trânsito
386,2025-03-26 10:43:24,0.0661,7196.04,6743.28,Debito,Confirmado,Março,C00386,João Lucas Gonçalves,Sena Madureira,AC,Norte,D00386,Standard,22.9,2025-05-04 07:21:35,2025-05-05 07:21:35,Entregue
388,2025-03-09 12:07:47,0.0548,1796.0,1740.48,Credito,Confirmado,Março,C00388,João Gabriel Almeida,Crato,CE,Nordeste,D00388,Same-Day,42.9,2025-05-08 10:47:39,2025-05-12 10:47:39,Atrasado
394,2025-05-06 02:50:33,0.1161,5484.26,4880.53,PIX,Confirmado,Maio,C00394,Ana Sophia Souza,Juiz de Fora,MG,Sudeste,D00394,Scheduled,32.99,2025-05-16 02:09:53,2025-05-17 02:09:53,A Caminho
402,2025-02-20 18:38:11,0.0194,2309.7,2307.79,Credito,Confirmado,Fevereiro,C00402,Raul Almeida,Marabá,PA,Norte,D00402,Same-Day,42.9,2025-04-24 19:54:51,2025-04-26 19:54:51,Atrasado
404,2025-03-03 15:56:16,0.09,2697.0,2477.17,Debito,Confirmado,Março,C00404,Nicolas da Costa,Itajaí,SC,Sul,D00404,Standard,22.9,2025-05-03 19:04:10,2025-05-06 19:04:10,Trânsito
405,2025-03-26 15:27:13,0.076,499.64,494.66,Boleto,Confirmado,Março,C00405,Guilherme Viana,Sena Madureira,AC,Norte,D00405,Scheduled,32.99,2025-04-15 07:21:29,2025-04-18 07:21:29,Atrasado
408,2025-03-26 08:26:40,0.0786,259.72,282.21,Credito,Confirmado,Março,C00408,Rafaela Peixoto,Ribeirão Preto,SP,Sudeste,D00408,Same-Day,42.9,2025-04-21 09:29:16,2025-04-26 09:29:16,Atrasado
409,2025-05-14 06:14:40,0.0598,49.9,89.82,Credito,Confirmado,Maio,C00409,Calebe da Mata,Curitiba,PR,Sul,D00409,Same-Day,42.9,2025-05-05 23:40:11,2025-05-06 23:40:11,Entregue
411,2025-04-03 20:02:51,0.1315,165.99,187.06,Boleto,Confirmado,Abril,C00411,Marcela Viana,Parnamirim,RN,Nordeste,D00411,Same-Day,42.9,2025-04-19 06:13:04,2025-04-22 06:13:04,Entregue
418,2025-03-12 12:10:53,0.0295,374.73,396.67,PIX,Confirmado,Março,C00418,Ana Sophia Costela,Uberlândia,MG,Sudeste,D00418,Scheduled,32.99,2025-05-07 22:57:19,2025-05-09 22:57:19,Trânsito
422,2025-03-17 09:53:57,0.0624,1626.57,1567.97,Debito,Confirmado,Março,C00422,Leandro da Costa,Rolim de Moura,RO,Norte,D00422,Same-Day,42.9,2025-05-14 12:30:06,2025-05-16 12:30:06,Entregue
426,2025-02-28 01:31:57,0.0969,35.8,55.23,Debito,Confirmado,Fevereiro,C00426,Davi Costela,Currais Novos,RN,Nordeste,D00426,Standard,22.9,2025-04-26 05:57:43,2025-04-27 05:57:43,Atrasado
431,2025-02-22 03:30:48,0.0602,3796.0,3610.38,Boleto,Confirmado,Fevereiro,C00431,Sr. Carlos Eduardo Sales,Londrina,PR,Sul,D00431,Same-Day,42.9,2025-05-11 08:03:28,2025-05-15 08:03:28,Entregue
434,2025-03-13 08:23:29,0.0968,5397.03,4907.59,PIX,Confirmado,Março,C00434,Sra. Camila Fogaça,Caxias do Sul,RS,Sul,D00434,Scheduled,32.99,2025-05-13 10:51:35,2025-05-17 10:51:35,Entregue
435,2025-04-12 13:32:20,0.1448,5937.3,5110.57,Boleto,Confirmado,Abril,C00435,Dr. Noah Duarte,São Gonçalo,RJ,Sudeste,D00435,Scheduled,32.99,2025-05-01 12:43:15,2025-05-05 12:43:15,Trânsito
440,2025-04-09 17:04:09,0.0049,3958.2,3971.79,Boleto,Confirmado,Abril,C00440,Maria Fernanda Gomes,Caxias do Sul,RS,Sul,D00440,Scheduled,32.99,2025-04-22 00:31:04,2025-04-27 00:31:04,Trânsito
442,2025-04-16 09:50:37,0.1273,7916.4,6941.63,Debito,Confirmado,Abril,C00442,Daniel da Luz,Tefé,AM,Norte,D00442,Scheduled,32.99,2025-05-14 21:17:26,2025-05-14 21:17:26,Atrasado
443,2025-04-29 20:14:34,0.0576,4604.0,4381.71,PIX,Confirmado,Abril,C00443,Dr. João Pedro Silveira,Blumenau,SC,Sul,D00443,Same-Day,42.9,2025-05-09 05:00:08,2025-05-12 05:00:08,A Caminho
448,2025-03-13 09:29:11,0.0921,207.2,221.11,Debito,Confirmado,Março,C00448,Eloah Mendes,Tarauacá,AC,Norte,D00448,Scheduled,32.99,2025-05-06 11:58:10,2025-05-07 11:58:10,Atrasado
